
[Name]
Plane 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity [ m s^-1 ]
4.771930e-05, 2.794005e-03, 0.000000e+00, 1.949548e+01, 3.098403e-03
1.049825e-04, 2.794005e-03, 0.000000e+00, 1.949633e+01, 8.189837e-03
-1.110223e-19, 2.594433e-03, 0.000000e+00, 1.938535e+01, 0.000000e+00
4.771930e-05, 2.594433e-03, 0.000000e+00, 1.937907e+01, 3.185853e-03
1.049825e-04, 2.594433e-03, 0.000000e+00, 1.938065e+01, 8.862401e-03
-9.714452e-20, 2.394862e-03, 0.000000e+00, 1.922871e+01, 0.000000e+00
4.771930e-05, 2.394862e-03, 0.000000e+00, 1.922145e+01, 3.209213e-03
1.049825e-04, 2.394862e-03, 0.000000e+00, 1.922521e+01, 9.535192e-03
-8.326673e-20, 2.195290e-03, 0.000000e+00, 1.900805e+01, 0.000000e+00
4.771930e-05, 2.195290e-03, 0.000000e+00, 1.899815e+01, 2.964987e-03
1.049825e-04, 2.195290e-03, 0.000000e+00, 1.900474e+01, 9.976230e-03
-6.938894e-20, 1.995718e-03, 0.000000e+00, 1.868036e+01, 0.000000e+00
4.771930e-05, 1.995718e-03, 0.000000e+00, 1.866250e+01, 2.462514e-03
1.049825e-04, 1.995718e-03, 0.000000e+00, 1.867069e+01, 1.022490e-02
-5.551115e-20, 1.796146e-03, 0.000000e+00, 1.824263e+01, 0.000000e+00
4.771930e-05, 1.796146e-03, 0.000000e+00, 1.821958e+01, 2.083383e-03
1.049825e-04, 1.796146e-03, 0.000000e+00, 1.823036e+01, 1.081814e-02
-4.163337e-20, 1.596574e-03, 0.000000e+00, 1.778440e+01, 0.000000e+00
4.771930e-05, 1.596574e-03, 0.000000e+00, 1.776848e+01, 6.324345e-03
1.049825e-04, 1.596574e-03, 0.000000e+00, 1.778496e+01, 1.766271e-02
-2.775558e-20, 1.397003e-03, 0.000000e+00, 1.756038e+01, 0.000000e+00
4.771930e-05, 1.397002e-03, 0.000000e+00, 1.756350e+01, 2.013705e-02
1.049825e-04, 1.397002e-03, 0.000000e+00, 1.755798e+01, 3.702610e-02
-1.387779e-20, 1.197431e-03, 0.000000e+00, 1.818204e+01, 0.000000e+00
4.771930e-05, 1.197431e-03, 0.000000e+00, 1.809646e+01, 4.774423e-02
1.049825e-04, 1.197431e-03, 0.000000e+00, 1.781260e+01, 6.883575e-02
0.000000e+00, 9.978589e-04, 0.000000e+00, 1.881029e+01, 0.000000e+00
4.771930e-05, 9.978589e-04, 0.000000e+00, 1.852642e+01, 1.000000e-01
1.049825e-04, 9.978589e-04, 0.000000e+00, 1.732979e+01, 1.000000e-01
5.944842e-04, 7.184584e-03, 0.000000e+00, 1.990757e+01, 2.462152e-03
5.944842e-04, 7.384156e-03, 0.000000e+00, 1.991138e+01, 2.049403e-03
1.083986e-03, 7.184584e-03, 0.000000e+00, 1.990885e+01, 9.564805e-03
1.083986e-03, 7.384156e-03, 0.000000e+00, 1.991247e+01, 8.651645e-03
5.944842e-04, 6.985013e-03, 0.000000e+00, 1.990344e+01, 2.938433e-03
1.083986e-03, 6.985013e-03, 0.000000e+00, 1.990498e+01, 1.054900e-02
5.944842e-04, 6.785441e-03, 0.000000e+00, 1.989890e+01, 3.486566e-03
1.083986e-03, 6.785441e-03, 0.000000e+00, 1.990081e+01, 1.160466e-02
5.944842e-04, 6.585869e-03, 0.000000e+00, 1.989388e+01, 4.116924e-03
1.083986e-03, 6.585869e-03, 0.000000e+00, 1.989638e+01, 1.273054e-02
5.944842e-04, 6.386297e-03, 0.000000e+00, 1.988834e+01, 4.841061e-03
1.083986e-03, 6.386297e-03, 0.000000e+00, 1.989175e+01, 1.391804e-02
5.944842e-04, 6.186726e-03, 0.000000e+00, 1.988229e+01, 5.666439e-03
1.083986e-03, 6.186726e-03, 0.000000e+00, 1.988687e+01, 1.515590e-02
5.944842e-04, 5.987154e-03, 0.000000e+00, 1.987574e+01, 6.596096e-03
1.083986e-03, 5.987154e-03, 0.000000e+00, 1.988142e+01, 1.643837e-02
5.944842e-04, 5.787582e-03, 0.000000e+00, 1.986865e+01, 7.633488e-03
1.083986e-03, 5.787582e-03, 0.000000e+00, 1.987486e+01, 1.777123e-02
5.944842e-04, 5.588010e-03, 0.000000e+00, 1.986098e+01, 8.779152e-03
1.083986e-03, 5.588010e-03, 0.000000e+00, 1.986709e+01, 1.914710e-02
5.944842e-04, 5.388438e-03, 0.000000e+00, 1.985277e+01, 1.002964e-02
1.083986e-03, 5.388438e-03, 0.000000e+00, 1.985825e+01, 2.053796e-02
5.944842e-04, 5.188867e-03, 0.000000e+00, 1.984415e+01, 1.138232e-02
1.083986e-03, 5.188867e-03, 0.000000e+00, 1.984835e+01, 2.192625e-02
5.944842e-04, 4.989295e-03, 0.000000e+00, 1.983519e+01, 1.283640e-02
1.083986e-03, 4.989295e-03, 0.000000e+00, 1.983731e+01, 2.330411e-02
5.944842e-04, 4.789723e-03, 0.000000e+00, 1.982565e+01, 1.439656e-02
1.083986e-03, 4.789723e-03, 0.000000e+00, 1.982512e+01, 2.465934e-02
5.944842e-04, 4.590151e-03, 0.000000e+00, 1.981514e+01, 1.607371e-02
1.083986e-03, 4.590151e-03, 0.000000e+00, 1.981164e+01, 2.597507e-02
5.944842e-04, 4.390579e-03, 0.000000e+00, 1.980281e+01, 1.789090e-02
1.083986e-03, 4.390579e-03, 0.000000e+00, 1.979583e+01, 2.726408e-02
5.944842e-04, 4.191007e-03, 0.000000e+00, 1.978839e+01, 1.983749e-02
1.083986e-03, 4.191007e-03, 0.000000e+00, 1.977745e+01, 2.853637e-02
5.944842e-04, 3.991436e-03, 0.000000e+00, 1.977118e+01, 2.187819e-02
1.083986e-03, 3.991436e-03, 0.000000e+00, 1.975618e+01, 2.978341e-02
5.944842e-04, 3.791864e-03, 0.000000e+00, 1.974947e+01, 2.401658e-02
1.083986e-03, 3.791864e-03, 0.000000e+00, 1.973015e+01, 3.104436e-02
5.944842e-04, 3.592292e-03, 0.000000e+00, 1.972147e+01, 2.627905e-02
1.083986e-03, 3.592292e-03, 0.000000e+00, 1.969747e+01, 3.237039e-02
5.944842e-04, 3.392720e-03, 0.000000e+00, 1.968522e+01, 2.868762e-02
