Volume injected (mL), NC (-)
0.046453,0.045119
0.046602,0.045548
0.046751,0.045859
0.0469,0.045716
0.047049,0.045658
0.047198,0.045817
0.047347,0.046186
0.047496,0.04614
0.047644,0.046059
0.047793,0.046334
0.047942,0.046679
0.048091,0.046546
0.04824,0.0464
0.048389,0.046937
0.048538,0.046926
0.048687,0.046944
0.048836,0.046836
0.048984,0.047401
0.049133,0.047416
0.049282,0.047491
0.049431,0.047392
0.04958,0.047622
0.049729,0.047913
0.049878,0.047916
0.050027,0.047753
0.050176,0.048304
0.050324,0.04848
0.050473,0.048386
0.050622,0.048473
0.050771,0.048757
0.05092,0.048871
0.051069,0.049299
0.051218,0.048614
0.051367,0.049128
0.051516,0.049242
0.051664,0.049189
0.051813,0.04921
0.051962,0.049668
0.052111,0.049539
0.05226,0.049751
0.052409,0.049178
0.052558,0.049876
0.052707,0.050119
0.052856,0.05047
0.053004,0.050078
0.053153,0.050416
0.053302,0.050274
0.053451,0.05059
0.0536,0.05046
0.053749,0.050878
0.053898,0.050962
0.054047,0.050987
0.054196,0.050747
0.054344,0.051255
0.054493,0.051466
0.054642,0.05138
0.054791,0.051358
0.05494,0.051522
0.055089,0.051628
0.055238,0.051753
0.055387,0.051653
0.055536,0.051956
0.055684,0.052198
0.055833,0.052021
0.055982,0.052221
0.056131,0.052508
0.05628,0.052588
0.056429,0.052423
0.056578,0.052206
0.056727,0.052777
0.056876,0.05255
0.057024,0.052954
0.057173,0.053001
0.057322,0.05337
0.057471,0.053566
0.05762,0.053888
0.057769,0.053481
0.057918,0.053558
0.058067,0.053503
0.058216,0.053924
0.058364,0.053725
0.058513,0.053876
0.058662,0.053947
0.058811,0.054256
0.05896,0.054007
0.059109,0.054305
0.059258,0.05449
0.059407,0.054715
0.059556,0.054699
0.059704,0.054592
0.059853,0.055314
0.060002,0.055098
0.060151,0.054564
0.0603,0.054847
0.060449,0.055145
0.060598,0.055125
0.060747,0.055089
0.060896,0.055211
0.061044,0.05548
0.061193,0.055208
0.061342,0.055171
0.061491,0.055553
0.06164,0.055292
0.061789,0.055579
0.061938,0.055641
0.062087,0.055833
0.062236,0.055969
0.062384,0.05578
0.062533,0.055725
0.062682,0.055994
0.062831,0.056119
0.06298,0.056404
0.063129,0.056305
0.063278,0.056316
0.063427,0.056479
0.063576,0.056411
0.063724,0.056399
0.063873,0.056956
0.064022,0.056928
0.064171,0.05671
0.06432,0.056813
0.064469,0.05724
0.064618,0.057244
0.064767,0.057422
0.064916,0.057421
0.065064,0.057627
0.065213,0.057328
0.065362,0.05731
0.065511,0.057393
0.06566,0.057791
0.065809,0.057541
0.065958,0.057854
0.066107,0.057939
0.066256,0.058009
0.066404,0.058148
0.066553,0.058308
0.066702,0.058187
0.066851,0.058207
0.067,0.058393
0.067149,0.058505
0.067298,0.057974
0.067447,0.058536
0.067596,0.058623
0.067744,0.05899
0.067893,0.058224
0.068042,0.058471
0.068191,0.05841
0.06834,0.058447
0.068489,0.058873
0.068638,0.058758
0.068787,0.058652
0.068936,0.059055
0.069084,0.059041
0.069233,0.059271
0.069382,0.059331
0.069531,0.059135
0.06968,0.059122
0.069829,0.059295
