PF t [s],PF n_C [mol],ground t [s],ground n_C [mol]
404.92788461538464,3.4142581888246627e-7,401.92307692307696,3.096724470134875e-7
410.9375,3.4204238921001927e-7,414.84375000000006,3.113680154142582e-7
416.9471153846154,3.4404624277456646e-7,427.7644230769231,3.1321772639691716e-7
422.65625000000006,3.4635838150289017e-7,440.6850961538462,3.146050096339114e-7
428.9663461538462,3.4789980732177265e-7,453.90625,3.166088631984586e-7
434.67548076923083,3.492870905587669e-7,466.8269230769231,3.1876685934489406e-7
440.6850961538462,3.506743737957611e-7,479.7475961538462,3.20616570327553e-7
446.69471153846155,3.5221579961464355e-7,492.96875,3.2246628131021196e-7
452.70432692307696,3.536030828516378e-7,505.8894230769231,3.2431599229287096e-7
459.0144230769231,3.54990366088632e-7,519.1105769230769,3.266281310211946e-7
465.02403846153857,3.563776493256262e-7,532.03125,3.286319845857418e-7
471.03365384615387,3.5761078998073216e-7,544.9519230769231,3.3063583815028905e-7
476.7427884615385,3.593063583815029e-7,558.1730769230769,3.327938342967245e-7
482.75240384615387,3.606936416184971e-7,571.09375,3.347976878612717e-7
489.0625,3.619267822736031e-7,584.0144230769231,3.368015414258189e-7
494.77163461538464,3.6346820809248554e-7,596.9350961538462,3.3911368015414256e-7
500.78125,3.6470134874759154e-7,610.15625,3.4157996146435456e-7
506.7908653846154,3.6624277456647396e-7,623.0769230769231,3.4373795761079e-7
512.8004807692308,3.677842003853565e-7,635.9975961538462,3.4605009633911365e-7
518.8100961538462,3.7071290944123315e-7,648.9182692307693,3.482080924855491e-7
524.8197115384615,3.725626204238921e-7,662.1394230769231,3.503660886319846e-7
530.8293269230769,3.741040462427746e-7,675.3605769230769,3.5267822736030826e-7
536.8389423076924,3.7641618497109824e-7,688.28125,3.5499036608863203e-7
542.8485576923076,3.7934489402697495e-7,701.2019230769231,3.5714836223506745e-7
548.8581730769231,3.8597302504816957e-7,714.1225961538462,3.596146435452794e-7
554.8677884615385,3.8859344894026976e-7,727.0432692307693,3.616184971098266e-7
561.1778846153846,3.855105973025048e-7,740.2644230769231,3.6408477842003854e-7
567.1875,3.865895953757225e-7,,
572.8966346153846,3.932177263969172e-7,,
578.90625,3.935260115606936e-7,,
584.9158653846154,3.9383429672447013e-7,,
590.9254807692308,3.947591522157996e-7,,
596.9350961538462,3.970712909441233e-7,,
602.9447115384615,3.9892100192678227e-7,,
608.9543269230769,4.00616570327553e-7,,
614.9639423076924,4.0200385356454717e-7,,
620.9735576923076,4.0354527938342964e-7,,
627.2836538461538,4.049325626204239e-7,,
632.9927884615386,4.0616570327552983e-7,,
639.0024038461539,4.0739884393063583e-7,,
645.0120192307693,4.0909441233140655e-7,,
651.0216346153845,4.1048169556840073e-7,,
657.03125,4.120231213872832e-7,,
663.0408653846154,4.1310211946050097e-7,,
669.0504807692307,4.147976878612717e-7,,
675.0600961538462,4.158766859344894e-7,,
680.7692307692307,4.175722543352601e-7,,
686.7788461538462,4.1834296724470135e-7,,
693.0889423076924,4.2003853564547206e-7,,
699.0985576923076,4.266666666666667e-7,,
705.1081730769231,4.285163776493256e-7,,
711.1177884615385,4.303660886319846e-7,,
717.1274038461538,4.3252408477842e-7,,
723.1370192307693,4.360693641618497e-7,,
728.8461538461538,4.357610789980732e-7,,
735.15625,4.368400770712909e-7,,
741.1658653846155,4.3236994219653176e-7,,
747.1754807692307,4.3360308285163776e-7,,
